rules,lift,support,confidence,count
"{위생세제,일반가공식품,채소} => {유제품}",12.6367455,0.001283021,0.57749613,5969
"{우육,유기농채소} => {농산가공}",12.62841097,0.001150613,0.466045621,5353
"{위생세제,채소,청과} => {유제품}",12.55908797,0.001350515,0.5739472,6283
"{즉석반찬,청과} => {채소}",12.55480477,0.001838445,0.494393064,8553
"{우육,청과} => {농산가공}",12.53550102,0.00204286,0.462616822,9504
"{유제품,일반가공식품} => {농산가공}",12.50734915,0.004645443,0.461577891,21612
"{어묵,유제품} => {채소}",12.49940731,0.001270124,0.492211579,5909
"{농산가공,위생세제,채소} => {유제품}",12.49309007,0.001621133,0.570931113,7542
"{농산가공,유제품,음료} => {채소}",12.47352371,0.001450465,0.491192313,6748
"{채소,청과} => {농산가공}",12.47146861,0.006308491,0.460253736,29349
"{위생세제,청과} => {농산가공}",12.43416422,0.002320572,0.458877035,10796
"{농산가공,위생세제} => {채소}",12.42075478,0.002839455,0.489114336,13210
"{생선,우육} => {농산가공}",12.41135546,0.001238742,0.458035289,5763
"{청과,햄} => {유제품}",12.35967173,0.001293983,0.564833928,6020
"{유기농채소,유제품} => {채소}",12.35869553,0.002534875,0.486670518,11793
"{일반가공식품,햄} => {유제품}",12.35583597,0.001359972,0.564658635,6327
"{농산가공,음료} => {유제품}",12.31975434,0.002952947,0.563009713,13738
"{유제품,음료,청과} => {채소}",12.2433379,0.001235088,0.482127874,5746
"{일반가공식품,채소,청과} => {유제품}",12.22974559,0.001989768,0.558896335,9257
"{유제품,청과} => {농산가공}",12.1615491,0.005558325,0.448816301,25859
"{농산가공,일용잡화} => {유제품}",12.14707063,0.00100015,0.55511811,4653
"{농산가공,수입식품} => {채소}",12.13847026,0.002313909,0.477998313,10765
"{농산가공,수입식품,채소} => {유제품}",12.1250231,0.001282161,0.554110543,5965
"{농산가공,채소,햄} => {유제품}",12.12416483,0.001025299,0.554071321,4770
"{농산가공,일반가공식품,채소} => {유제품}",12.02508036,0.002508221,0.549543185,11669
"{위생세제,유제품} => {농산가공}",11.99590848,0.003121466,0.442703411,14522
"{수입식품,일반가공식품,채소} => {유제품}",11.98456434,0.001042925,0.547691613,4852
"{수입식품,채소,청과} => {유제품}",11.94658315,0.001085269,0.545955882,5049
"{일반가공식품,햄} => {채소}",11.94136388,0.001132558,0.470236502,5269
"{일반가공식품,즉석반찬} => {채소}",11.90421382,0.001201986,0.468773577,5592
"{농산가공,유제품} => {채소}",11.87315448,0.006587493,0.467550497,30647
"{위생세제,청과} => {채소}",11.81588242,0.002353029,0.465295193,10947
"{어묵,일반가공식품} => {유제품}",11.80276791,0.001015626,0.539383562,4725
"{어묵,청과} => {유제품}",11.7843456,0.00100015,0.538541667,4653
"{농산가공,위생세제} => {유제품}",11.76576495,0.003121466,0.537692536,14522
"{유기농채소,음료} => {유제품}",11.75746944,0.00102143,0.537313433,4752
"{농산가공,유기농채소,청과} => {유제품}",11.73346925,0.001204565,0.53621663,5604
"{농산가공,음료} => {채소}",11.69654622,0.002415794,0.460595877,11239
"{위생세제,일반가공식품} => {농산가공}",11.69152304,0.00251381,0.431470208,11695
"{농산가공,우육,청과} => {유제품}",11.68695432,0.001091073,0.534090909,5076
"{수입식품,청과} => {채소}",11.62379806,0.001987834,0.457731142,9248
"{음료,청과} => {농산가공}",11.61931636,0.002081766,0.428805455,9685
"{음료,채소} => {유제품}",11.61327637,0.002378178,0.530723845,11064
"{음료,청과} => {유제품}",11.54649623,0.002561743,0.527672009,11918
"{농산가공,일반가공식품} => {유제품}",11.46594387,0.004645443,0.523990787,21612
"{유제품,청과} => {채소}",11.45999801,0.005588847,0.451280894,26001
